County Name,County Number,District Abbreviation,District Name,Square Miles,Statewide Percent of Square Miles,Per Capita Square Miles,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**, Daily Vehicle Miles* ,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*,Center Line Miles*,Statewide Percent of Center Line Miles*,Per Capita Center Line Miles*, Lane Miles* ,Statewide Percent of Lane Miles*,Per Capita Lane Miles*, Construction Expenditures ,Statewide Percent of Construction Expenditures,Per Capita Construction Expenditures, Non-Contract Maintenance Expenditures ,Statewide Percent of Non-Contract Maintenance Expenditures,Per Capita Non-Contract Maintenance Expenditures,Contract Maintenance Expenditures,Statewide Percent of Contract Maintenance Expenditures,Per Capita Contract Maintenance Expenditures,Combined Construction & Maintenance Expenditures,Statewide Percent of Combined Construction & Maintenance Expenditures,Per Capita Combined Construction & Maintenance Expenditures,,
Castro,35,LBB,Lubbock,894 ,0.34%,0.12 ,"9,017",0.03%,1.20 ,"7,490",0.02%,"306,828.558",0.05%,40.965 ,260.834,0.32%,0.035 ,552.407,0.27%,0.074 ,"$22,265,218",0.18%,"$2,973 ","$1,013,196",0.17%,$135 ,"$777,967",0.02%,$104 ,"$24,056,381",0.14%,"$3,212 ",,
Chambers,36,BMT,Beaumont,597 ,0.23%,0.01 ,"60,491",0.22%,1.06 ,"57,010",0.18%,"3,265,240.154",0.52%,57.275 ,336.140,0.41%,0.006 ,863.355,0.43%,0.015 ,"$17,254,675",0.14%,$303 ,"$2,401,881",0.40%,$42 ,"$12,849,413",0.32%,$225 ,"$32,505,969",0.19%,$570 ,,
Cherokee,37,TYL,Tyler,"1,053 ",0.40%,0.02 ,"55,307",0.21%,1.03 ,"53,809",0.17%,"1,291,186.407",0.21%,23.996 ,507.738,0.63%,0.009 ,"1,145.138",0.57%,0.021 ,"$70,115,866",0.58%,"$1,303 ","$3,621,006",0.60%,$67 ,"$11,643,474",0.29%,$216 ,"$85,380,346",0.51%,"$1,587 ",,
Childress,38,CHS,Childress,697 ,0.27%,0.11 ,"6,702",0.02%,1.02 ,"6,577",0.02%,"469,859.009",0.08%,71.440 ,209.309,0.26%,0.032 ,500.673,0.25%,0.076 ,"$10,088,880",0.08%,"$1,534 ","$1,395,128",0.23%,$212 ,"$14,716,338",0.37%,"$2,238 ","$26,200,346",0.16%,"$3,984 ",,
Clay,39,WFS,Wichita Falls,"1,089 ",0.42%,0.10 ,"14,171",0.05%,1.32 ,"10,752",0.03%,"827,464.952",0.13%,76.959 ,352.153,0.43%,0.033 ,781.347,0.39%,0.073 ,"$11,839,148",0.10%,"$1,101 ","$2,425,348",0.40%,$226 ,"$11,321,934",0.28%,"$1,053 ","$25,586,429",0.15%,"$2,380 ",,
Cochran,40,LBB,Lubbock,775 ,0.30%,0.30 ,"3,040",0.01%,1.17 ,"2,596",0.01%,"102,189.647",0.02%,39.364 ,231.384,0.29%,0.089 ,468.770,0.23%,0.181 ,"$2,694,887",0.02%,"$1,038 ","$545,489",0.09%,$210 ,"$489,064",0.01%,$188 ,"$3,729,439",0.02%,"$1,437 ",,
Coke,41,SJT,San Angelo,912 ,0.35%,0.26 ,"4,815",0.02%,1.37 ,"3,505",0.01%,"220,252.127",0.04%,62.839 ,171.274,0.21%,0.049 ,368.829,0.18%,0.105 ,"$21,718,513",0.18%,"$6,196 ","$1,227,687",0.20%,$350 ,"$15,205,073",0.38%,"$4,338 ","$38,151,273",0.23%,"$10,885 ",,
Coleman,42,BWD,Brownwood,"1,263 ",0.48%,0.15 ,"11,802",0.04%,1.44 ,"8,188",0.03%,"413,600.075",0.07%,50.513 ,335.184,0.41%,0.041 ,753.449,0.37%,0.092 ,"$14,712,654",0.12%,"$1,797 ","$1,747,711",0.29%,$213 ,"$11,986,760",0.30%,"$1,464 ","$28,447,126",0.17%,"$3,474 ",,
Collin,43,DAL,Dallas,841 ,0.32%,0.00 ,"956,767",3.55%,0.75 ,"1,272,999",4.03%,"11,299,496.486",1.81%,8.876 ,539.196,0.66%,0.000 ,"1,652.485",0.82%,0.001 ,"$395,599,684",3.27%,$311 ,"$4,374,704",0.72%,$3 ,"$53,634,666",1.33%,$42 ,"$453,609,055",2.71%,$356 ,,
Collingsworth,44,CHS,Childress,918 ,0.35%,0.35 ,"3,474",0.01%,1.33 ,"2,607",0.01%,"86,626.584",0.01%,33.228 ,217.348,0.27%,0.083 ,472.835,0.23%,0.181 ,"$5,563,994",0.05%,"$2,134 ","$2,013,520",0.33%,$772 ,"$6,345,966",0.16%,"$2,434 ","$13,923,480",0.08%,"$5,341 ",,
Colorado,45,YKM,Yoakum,960 ,0.37%,0.04 ,"31,580",0.12%,1.47 ,"21,543",0.07%,"2,184,371.781",0.35%,101.396 ,334.667,0.41%,0.016 ,769.500,0.38%,0.036 ,"$226,723,998",1.88%,"$10,524 ","$2,266,886",0.37%,$105 ,"$111,398,257",2.77%,"$5,171 ","$340,389,141",2.04%,"$15,800 ",,
Comal,46,SAT,San Antonio,560 ,0.21%,0.00 ,"226,587",0.84%,1.09 ,"207,603",0.66%,"5,835,263.023",0.93%,28.108 ,270.512,0.33%,0.001 ,743.356,0.37%,0.004 ,"$64,479,344",0.53%,$311 ,"$2,826,253",0.47%,$14 ,"$19,389,652",0.48%,$93 ,"$86,695,248",0.52%,$418 ,,
Comanche,47,BWD,Brownwood,938 ,0.36%,0.06 ,"19,036",0.07%,1.31 ,"14,524",0.05%,"579,910.809",0.09%,39.928 ,357.903,0.44%,0.025 ,747.921,0.37%,0.051 ,"$13,194,302",0.11%,$908 ,"$1,994,149",0.33%,$137 ,"$5,578,426",0.14%,$384 ,"$20,766,877",0.12%,"$1,430 ",,
