county,grand_total,total_kw,pop_estimate,daily_miles,opt_label,cons_label,kw_per_ev,ev_per_capita,kw_per_capita,miles_per_ev,miles_per_kw
Polk,198.0,2039.0,54730.0,1861833.124,over,over,10.297979797979798,0.0036177599122967294,0.037255618490772885,9403.197595959597,913.1108994605199
Potter,295.0,5275.0,117502.0,2955729.702,over,over,17.88135593220339,0.00251059556433082,0.04489285288761043,10019.422718644068,560.3279055924171
Randall,597.0,20026.8,151067.0,1837798.299,over,over,33.54572864321608,0.003951888896979486,0.13256899256621235,3078.389110552764,91.76694724069748
Reagan,1.0,22.4,3414.0,376536.963,over,over,22.4,0.00029291154071470416,0.006561218512009373,376536.963,16809.685848214285
Real,6.0,13.0,2737.0,109087.719,under,under,2.1666666666666665,0.0021921812203142127,0.0047497259773474606,18181.2865,8391.363
Reeves,23.0,4164.5,15034.0,1778554.779,over,over,181.06521739130434,0.0015298656378874551,0.27700545430357854,77328.46865217392,427.07522607756033
Refugio,10.0,3200.0,6848.0,822834.805,over,over,320.0,0.0014602803738317756,0.4672897196261682,82283.4805,257.1358765625
Robertson,22.0,2160.0,17653.0,1041750.881,over,over,98.18181818181819,0.0012462470968107404,0.12235880586869087,47352.31277272727,482.2920745370371
Rockwall,1880.0,7785.2,135364.0,3011488.192,over,over,4.1410638297872335,0.013888478472858366,0.05751307585473242,1601.8554212765957,386.8222000719313
Runnels,14.0,50.0,9611.0,476422.293,under,under,3.5714285714285716,0.0014566642388929353,0.005202372281760482,34030.163785714285,9528.44586
Rusk,113.0,2038.0,53498.0,1377320.504,over,over,18.035398230088497,0.0021122284945231597,0.03809488205166548,12188.677026548672,675.8196781157998
San Jacinto,67.0,2190.0,28777.0,913057.729,over,over,32.6865671641791,0.0023282482538138096,0.07610244292316781,13627.727298507463,416.9213374429224
San Patricio,178.0,2000.0,71946.0,2423641.019,over,over,11.235955056179776,0.0024740777805576405,0.027798626747838655,13615.960780898875,1211.8205094999998
Scurry,27.0,13.0,16044.0,670074.937,under,under,0.48148148148148145,0.0016828721017202693,0.0008102717526801296,24817.59025925926,51544.22592307693
Shelby,24.0,778.0,24094.0,784777.506,over,over,32.416666666666664,0.0009960986137627626,0.032290196729476216,32699.06275,1008.7114473007713
Smith,1010.0,7073.0,245101.0,5946792.36,over,over,7.0029702970297025,0.004120750221337326,0.02885749140150387,5887.913227722773,840.7736971582074
Stephens,12.0,98.0,9210.0,265481.024,over,over,8.166666666666666,0.0013029315960912053,0.010640608034744842,22123.418666666665,2708.990040816326
Tarrant,23117.0,101718.9,2245229.0,37894703.796,over,over,4.400177358653805,0.010296054433645743,0.04530446560239512,1639.256988190509,372.54338963555443
Taylor,510.0,4640.0,149153.0,2964665.286,over,over,9.098039215686274,0.0034193076907604943,0.031108995461036654,5813.069188235294,638.936484051724
Titus,78.0,2130.0,31626.0,1201995.094,over,over,27.307692307692307,0.0024663251754885223,0.0673496490229558,15410.193512820513,564.3169455399061
Tom Green,360.0,2896.2000000000003,123326.0,2016228.964,over,over,8.045,0.0029190924865802833,0.02348409905453838,5600.636011111111,696.1635812443891
Travis,41261.0,90087.4,1395906.0,22808074.936,over,over,2.183354741765832,0.029558580592102906,0.06453686709563537,552.7756219190035,253.177191660543
Uvalde,48.0,2058.5,24344.0,670524.812,over,over,42.885416666666664,0.001971738416036806,0.08455882352941177,13969.266916666667,325.7346669905271
Val Verde,149.0,2911.1,48163.0,612258.867,over,over,19.537583892617448,0.0030936611091501773,0.06044266345534954,4109.1199127516775,210.31873415547386
Van Zandt,204.0,537.1999999999999,65449.0,2670613.519,under,under,2.633333333333333,0.0031169307399654695,0.0082079176152424,13091.242740196078,4971.358002606106
Victoria,256.0,2110.0,90845.0,2364206.426,over,over,8.2421875,0.00281798668060983,0.02322637459408883,9235.1813515625,1120.4769791469193
Walker,155.0,2035.2,80914.0,3207038.973,over,over,13.130322580645162,0.0019156141088068814,0.025152631188669453,20690.57401935484,1575.785658903302
Waller,551.0,9513.5,65997.0,2649842.66,over,over,17.265880217785845,0.00834886434231859,0.14415049168901617,4809.151833030854,278.5349934303884
Washington,164.0,4153.7,38024.0,1610837.569,over,over,25.327439024390245,0.004313065432358511,0.10923890174626551,9822.180298780488,387.80787466596047
Webb,769.0,3775.5,277406.0,4079258.727,over,over,4.909622886866059,0.002772110192281349,0.013610015644939187,5304.627733420026,1080.4552316249503
Wharton,82.0,3399.0,42154.0,1861265.568,over,over,41.451219512195124,0.0019452483750059307,0.08063291739811168,22698.360585365852,547.5921059135039
Wheeler,3.0,922.4,4936.0,572589.884,over,over,307.46666666666664,0.0006077795786061589,0.18687196110210696,190863.29466666665,620.7609323503902
Wichita,380.0,307.7,128927.0,2348808.63,under,under,0.8097368421052631,0.002947404345094511,0.0023866218868041603,6181.075342105263,7633.437211569711
Wilbarger,20.0,3000.0,12566.0,694823.672,over,over,150.0,0.0015915963711602738,0.23873945567404106,34741.183600000004,231.60789066666666
Williamson,18047.0,32554.2,737942.0,11231855.004,over,over,1.8038565966642657,0.024455851543888272,0.044114849134484824,622.3668756025933,345.0201511325728
Wise,338.0,4162.0,75954.0,2962665.627,over,over,12.31360946745562,0.00445006187955868,0.054796324090897124,8765.282920118343,711.8370079288803
Wood,118.0,480.0,47953.0,987140.988,over,over,4.067796610169491,0.0024607428106687796,0.010009801263737409,8365.601593220339,2056.543725
