County Name,County Number,Registered Vehicles,Statewide Percent of Registered Vehicles,Per Capita Registered Vehicles,Population Estimate**,Statewide Percent of Population Estimate**,Daily Vehicle Miles*,Statewide Percent of Daily Vehicle Miles*,Per Capita Daily Vehicle Miles*
Winkler,248.0,"11,569",0.04%,1.5,"7,731",0.02%,"616,404.944",0.10%,79.732 
Wise,249.0,"106,245",0.39%,1.4,"75,954",0.24%,"2,962,665.627",0.47%,39.006 
Wood,250.0,"59,970",0.22%,1.25,"47,953",0.15%,"987,140.988",0.16%,20.586 
Yoakum,251.0,"11,674",0.04%,1.55,"7,519",0.02%,"295,774.323",0.05%,39.337 
Young,252.0,"24,343",0.09%,1.35,"18,024",0.06%,"404,347.880",0.06%,22.434 
Zapata,253.0,"12,544",0.05%,0.9,"13,963",0.04%,"291,478.043",0.05%,20.875 
Zavala,254.0,"9,322",0.03%,0.98,"9,546",0.03%,"528,128.536",0.08%,55.325 
Statewide Total,,"26,959,135",100.00%,0.85,"31,572,300",100.00%,"624,233,072.348",100.00%,19.772 
"*Certified Data provided for On-System Daily Vehicle Miles, Centerline Miles and Lane Miles is based on Calendar year 2024. These mileage statistics are On-System only (under the jurisdiction of TxDOT).",,,,,,,,,
** Certified Data provided by the Texas Demographic Center is based on Calendar year 2024.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
