model,battery_capacity_kWh,efficiency_wh_per_km,range_km,fast_charging_power_kw_dc,fast_charge_port
renault megane e-tech ev60 220hp (tu2025),60.0,133,380,88.0,CCS
renault scenic e-tech ev60 170hp,60.0,144,340,75.0,CCS
renault scenic e-tech ev87 220hp,87.0,143,480,95.0,CCS
rolls-royce spectre,102.0,192,465,126.0,CCS
skoda elroq 50,52.0,149,310,90.0,CCS
skoda elroq 60,59.0,149,350,110.0,CCS
skoda elroq 85,77.0,145,450,120.0,CCS
skoda elroq rs,79.0,151,450,135.0,CCS
skoda enyaq 60,59.0,145,360,110.0,CCS
skoda enyaq 85,77.0,141,455,120.0,CCS
skoda enyaq 85x,77.0,150,450,120.0,CCS
skoda enyaq coupe 60,59.0,141,370,110.0,CCS
skoda enyaq coupe 85,77.0,138,470,120.0,CCS
skoda enyaq coupe 85x,77.0,146,460,120.0,CCS
skoda enyaq coupe rs,79.0,143,470,135.0,CCS
skoda enyaq rs,79.0,147,460,135.0,CCS
skywell be11 long range,81.0,166,390,50.0,CCS
skywell be11 standard range,68.0,149,330,50.0,CCS
smart #1 brabus,62.0,155,325,100.0,CCS
smart #1 premium,62.0,141,335,100.0,CCS
smart #1 pro,47.0,152,250,65.0,CCS
smart #1 pro+,62.0,148,335,100.0,CCS
smart #1 pulse,62.0,155,325,100.0,CCS
smart #1 pure,47.0,152,250,65.0,CCS
smart #1 pure+,62.0,148,335,100.0,CCS
smart #3 brabus,62.0,149,335,100.0,CCS
smart #3 premium,62.0,136,355,110.0,CCS
smart #3 pro,47.0,145,265,65.0,CCS
smart #3 pro+,62.0,143,355,110.0,CCS
smart #5 brabus,94.0,174,450,230.0,CCS
smart #5 premium,94.0,159,465,230.0,CCS
smart #5 pro,74.4,160,370,110.0,CCS
smart #5 pro+,94.0,159,465,230.0,CCS
smart #5 pulse,94.0,174,455,230.0,CCS
smart #5 summit edition,94.0,174,455,230.0,CCS
subaru solterra awd,64.0,154,320,100.0,CCS
tesla model 3 long range awd (highland),75.0,119,525,124.0,CCS
tesla model 3 long range rwd (highland),75.0,117,545,124.0,CCS
tesla model 3 performance (highland),75.0,142,490,124.0,CCS
tesla model 3 rwd (highland catl lfp64),60.5,116,445,110.0,CCS
tesla model s dual motor,95.0,150,575,140.0,CCS
tesla model s plaid,95.0,158,560,140.0,CCS
tesla model x dual motor,95.0,165,485,140.0,CCS
tesla model x plaid,95.0,180,465,140.0,CCS
tesla model y long range awd (juniper),75.0,132,455,124.0,CCS
tesla model y long range rwd (juniper),75.0,121,470,124.0,CCS
tesla model y rwd (juniper),60.5,121,375,110.0,CCS
toyota proace verso l 75 kwh,68.0,204,260,79.0,CCS
toyota proace verso m 50 kwh,46.3,217,180,78.0,CCS
toyota proace verso m 75 kwh,68.0,202,260,79.0,CCS
toyota proace city verso electric l1 50 kwh,50.0,149,235,80.0,CCS
toyota proace city verso electric l2 50 kwh,50.0,149,230,80.0,CCS
toyota bz4x awd,64.0,154,345,100.0,CCS
toyota bz4x fwd,64.0,145,350,100.0,CCS
vinfast vf 8 eco extended range,87.7,186,405,120.0,CCS
vinfast vf 8 plus extended range,87.7,196,400,120.0,CCS
volkswagen id. buzz lwb gtx,86.0,182,350,145.0,CCS
volkswagen id. buzz lwb pro,86.0,190,370,145.0,CCS
volkswagen id. buzz nwb gtx,79.0,194,330,135.0,CCS
volkswagen id. buzz nwb pro,79.0,187,360,135.0,CCS
volkswagen id. buzz nwb pure,59.0,178,275,110.0,CCS
volkswagen id.3 gtx,79.0,131,470,135.0,CCS
volkswagen id.3 gtx performance,79.0,131,465,135.0,CCS
volkswagen id.3 pro,59.0,136,365,110.0,CCS
volkswagen id.3 pro s,77.0,138,465,120.0,CCS
volkswagen id.3 pure,52.0,134,325,90.0,CCS
volkswagen id.4 gtx,77.0,152,420,120.0,CCS
volkswagen id.4 pro,77.0,149,445,120.0,CCS
volkswagen id.4 pro 4motion,77.0,155,435,120.0,CCS
volkswagen id.4 pure,52.0,143,285,87.0,CCS
volkswagen id.5 gtx,77.0,144,430,120.0,CCS
volkswagen id.5 pro,77.0,138,460,120.0,CCS
volkswagen id.5 pure,52.0,142,320,87.0,CCS
volkswagen id.7 gtx,86.0,145,500,145.0,CCS
volkswagen id.7 pro,77.0,132,475,125.0,CCS
volkswagen id.7 pro s,86.0,133,525,145.0,CCS
volkswagen id.7 tourer gtx,86.0,147,500,145.0,CCS
volkswagen id.7 tourer pro,77.0,146,470,125.0,CCS
volkswagen id.7 tourer pro s,86.0,125,520,145.0,CCS
volvo ec40 single motor (my26),67.0,151,360,110.0,CCS
volvo ec40 single motor er (my26),79.0,146,420,125.0,CCS
volvo ec40 twin motor (my26),79.0,155,400,125.0,CCS
