County,Alfa Romeo Tonale,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi Q4 Sportback e-tron,Audi Q4 e-tron,Audi Q5 Plug In,Audi Q8 Sportback e-tron,Audi Q8 e-tron,Audi RS e-tron GT,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW X3,BMW X5,BMW XM,BMW i3,BMW i3 REx,BMW i4,BMW i5,BMW i7,BMW i8,BMW iX,BYD 8TT,Bentley Bentayga Hybrid,Bentley Flying Spur Hybrid,BrightDrop EV600,Cadillac CT6,Cadillac ELR,Cadillac Lyriq,Chevrolet Blazer EV,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Silverado EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,Dodge Hornet,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Fisker Ocean,Ford C-Max Energi,Ford E-Transit,Ford Escape Plug-in Hybrid,Ford F-150 Lightning,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,Freightliner eCascadia,GEM NEV,GMC Hummer EV Pickup,GMC Hummer EV SUV,Genesis G80 EV,Genesis GV60 EV,Genesis GV70 EV,Gillig Battery Electric Bus,GreenPower EV Star,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq 5,Hyundai Ioniq 6,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,IC Bus CE Electric Bus,International MV60E,Jaguar I-PACE,Jaguar I-Pace,Jeep Grand Cherokee Plug In,Jeep Wrangler 4xe,Karma Revero,Kia EV6,Kia EV9,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorento Plug In,Kia Soul EV,Kia Sportage Plug-In,Land Rover Range Rover Plug In,Lexus NX 450h+,Lexus RZ 450e,Lexus TX 500h,Lincoln Aviator Plug In,Lincoln Corsair,Lion LionC Bus,Lucid Air,Mazda CX-90,Mazda MX-30,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQB,Mercedes EQE,Mercedes EQE SUV,Mercedes EQS,Mercedes EQS SUV,Mercedes GLC 350e Hybrid,Mercedes GLE 450e,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Mercedes S580e,Miles ZX40ST,Mini Cooper SE Countryman,Mini Cooper SE Hardtop 2 Door,Mitsubishi Outlander Plug In,Mitsubishi i,New Flyer Xcelsior CHARGE,Nissan Ariya,Nissan Leaf,Orange EV T-Series N Standard Duty,Peterbilt 220EV,Peterbilt 579EV,Polestar 1,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Panamera Turbo S E-Hybrid,Porsche Taycan,Rivian EDV,Rivian R1S,Rivian R1T,Rolls Royce Spectre,Smart forTwo EV,Smart forTwo EV Cabrio,Smith EV,Subaru Crosstrek Hybrid,Subaru Solterra,Tesla Cybertruck,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Tesla Semi,Toyota BZ4X,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen ID.4,Volkswagen e-Golf,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo Trucks VNR Electric Truck,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug-In,Volvo XC90 Plug-In,Wheego Life,Workhorse E-GEN Van,Xos MDXT,Grand Total
Comal,,3.0,,,1.0,12.0,12.0,,13.0,,14.0,14.0,3.0,13.0,13.0,1.0,1.0,26.0,,9.0,6.0,16.0,3.0,,1.0,2.0,,,,,2.0,1.0,12.0,,19.0,41.0,,2.0,42.0,38.0,,,,,1.0,1.0,1.0,15.0,1.0,5.0,53.0,,22.0,44.0,,,,3.0,2.0,4.0,,,,,,,7.0,12.0,4.0,1.0,3.0,8.0,2.0,1.0,,,,,2.0,13.0,62.0,,7.0,1.0,4.0,3.0,,5.0,1.0,3.0,2.0,4.0,2.0,,15.0,4.0,,4.0,5.0,,,1.0,1.0,5.0,,,9.0,,1.0,1.0,,1.0,,,,2.0,6.0,5.0,1.0,,12.0,17.0,,,,,10.0,,5.0,6.0,,6.0,,23.0,15.0,,5.0,,,1.0,3.0,4.0,462.0,136.0,74.0,416.0,1.0,,1.0,5.0,30.0,,22.0,18.0,1.0,3.0,3.0,1.0,,,10.0,11.0,14.0,,,,1995.0
Comanche,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,19.0
Concho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
Cooke,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,4.0,,3.0,1.0,,,5.0,2.0,,,,,1.0,,,1.0,,2.0,2.0,,6.0,7.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,2.0,2.0,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,2.0,1.0,,,,,,,,19.0,12.0,8.0,12.0,,,,,3.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,119.0
Coryell,2.0,,,,,,,,,,3.0,,,7.0,3.0,,,1.0,,1.0,4.0,,,,,,,,,,,,1.0,,4.0,3.0,,,14.0,6.0,,,,,,,,2.0,1.0,1.0,1.0,,8.0,4.0,,,,3.0,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,1.0,7.0,8.0,,1.0,,5.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,2.0,,,2.0,8.0,,,,,,,,,,,,,,,,,,,1.0,,44.0,5.0,3.0,27.0,,,,1.0,3.0,,,4.0,,,1.0,,,,,1.0,2.0,,,,207.0
Crockett,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,5.0
Crosby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,7.0
Culbertson,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,5.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,15.0
Dallam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,15.0
Dallas,5.0,27.0,3.0,,29.0,126.0,133.0,2.0,91.0,5.0,200.0,61.0,62.0,177.0,238.0,14.0,43.0,387.0,10.0,109.0,123.0,261.0,30.0,27.0,58.0,186.0,,6.0,3.0,,9.0,22.0,221.0,1.0,274.0,519.0,6.0,9.0,452.0,351.0,,,,3.0,69.0,9.0,20.0,82.0,110.0,87.0,191.0,7.0,172.0,816.0,,,1.0,7.0,21.0,23.0,3.0,40.0,12.0,,2.0,4.0,98.0,248.0,50.0,5.0,9.0,99.0,4.0,9.0,4.0,,1.0,,40.0,616.0,690.0,3.0,180.0,9.0,183.0,48.0,10.0,26.0,16.0,21.0,36.0,34.0,39.0,,39.0,19.0,,117.0,32.0,,1.0,6.0,18.0,101.0,69.0,96.0,253.0,3.0,19.0,28.0,8.0,4.0,1.0,1.0,,13.0,53.0,71.0,7.0,,81.0,438.0,1.0,,5.0,1.0,95.0,3.0,151.0,94.0,2.0,377.0,100.0,384.0,168.0,3.0,29.0,3.0,,4.0,22.0,19.0,6530.0,2092.0,1173.0,5728.0,6.0,,31.0,46.0,265.0,,124.0,274.0,25.0,44.0,38.0,14.0,,5.0,114.0,127.0,252.0,,2.0,2.0,28268.0
Dawson,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,8.0
Deaf Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,21.0
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,14.0
Denton,3.0,15.0,3.0,1.0,10.0,60.0,50.0,,38.0,,104.0,18.0,20.0,91.0,116.0,8.0,15.0,195.0,1.0,50.0,57.0,177.0,22.0,19.0,35.0,152.0,,1.0,2.0,,3.0,9.0,118.0,2.0,137.0,225.0,1.0,7.0,261.0,208.0,,1.0,,2.0,40.0,1.0,13.0,58.0,24.0,27.0,148.0,5.0,146.0,405.0,,,,3.0,20.0,20.0,1.0,9.0,2.0,,,,59.0,124.0,22.0,1.0,3.0,17.0,5.0,5.0,4.0,,,2.0,24.0,89.0,291.0,3.0,97.0,15.0,42.0,22.0,3.0,28.0,8.0,11.0,7.0,4.0,23.0,,37.0,12.0,,48.0,30.0,1.0,,4.0,6.0,53.0,30.0,44.0,122.0,1.0,10.0,15.0,6.0,5.0,,1.0,,8.0,27.0,50.0,6.0,,41.0,315.0,,,,1.0,61.0,,62.0,31.0,,144.0,119.0,158.0,127.0,1.0,11.0,,,1.0,18.0,16.0,4451.0,1080.0,843.0,5639.0,2.0,,16.0,25.0,140.0,4.0,77.0,223.0,12.0,23.0,17.0,7.0,,4.0,43.0,70.0,136.0,,,,18502.0
Dewitt,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,23.0
Dickens,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Dimmit,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Duval,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,9.0
Eastland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,1.0,,1.0,,,,,3.0,,,1.0,,,,,,,,,,,,,23.0
Ector,,,,,,,,,1.0,,,,,9.0,5.0,,,5.0,2.0,1.0,,1.0,,,3.0,2.0,,,,,,,3.0,,4.0,3.0,,,7.0,5.0,,,,,,,,1.0,1.0,1.0,8.0,,,14.0,,,,,2.0,3.0,,,,,,,3.0,5.0,3.0,,,,,,,,,,,12.0,10.0,,5.0,,,1.0,,,,1.0,,,,,6.0,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,2.0,,,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,47.0,13.0,6.0,42.0,,,,1.0,6.0,,1.0,3.0,,,,,,,,1.0,,,,,265.0
Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0
El Paso,,1.0,,,6.0,18.0,14.0,,7.0,1.0,25.0,9.0,15.0,37.0,35.0,4.0,7.0,38.0,4.0,23.0,20.0,45.0,3.0,4.0,15.0,23.0,,,,,,9.0,41.0,,46.0,68.0,1.0,8.0,103.0,82.0,,,,,16.0,1.0,,22.0,46.0,14.0,64.0,3.0,65.0,129.0,,,,2.0,5.0,5.0,1.0,2.0,,,1.0,3.0,19.0,43.0,30.0,2.0,4.0,6.0,,3.0,2.0,,,,6.0,89.0,182.0,,35.0,4.0,16.0,9.0,5.0,8.0,3.0,6.0,4.0,8.0,9.0,,13.0,3.0,,7.0,14.0,,,5.0,2.0,8.0,1.0,9.0,18.0,,2.0,4.0,,2.0,,,,6.0,5.0,16.0,1.0,,53.0,118.0,,,,,6.0,,21.0,5.0,,45.0,,13.0,8.0,,11.0,,,4.0,7.0,2.0,1006.0,164.0,123.0,686.0,,,11.0,9.0,59.0,1.0,33.0,102.0,6.0,13.0,6.0,1.0,,1.0,19.0,29.0,29.0,,,,4291.0
Ellis,,1.0,,,,3.0,4.0,,1.0,,8.0,4.0,,7.0,11.0,,1.0,11.0,,2.0,3.0,13.0,3.0,,8.0,6.0,,,,,,3.0,12.0,1.0,16.0,26.0,,,40.0,16.0,,,,,1.0,,2.0,9.0,1.0,10.0,20.0,1.0,19.0,47.0,,1.0,,2.0,4.0,2.0,1.0,,,,,,3.0,10.0,3.0,,1.0,,,,,,,1.0,1.0,8.0,35.0,,12.0,1.0,6.0,1.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,1.0,,4.0,5.0,,,,1.0,2.0,2.0,3.0,9.0,,2.0,,,,,,,,3.0,5.0,,,6.0,23.0,,,,,5.0,,,3.0,,9.0,,7.0,6.0,,1.0,,,1.0,,,306.0,78.0,45.0,202.0,1.0,,4.0,,16.0,,4.0,23.0,2.0,1.0,1.0,1.0,,,,3.0,5.0,,,,1200.0
Erath,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,2.0,1.0,,2.0,4.0,,,5.0,2.0,,,,,1.0,,,2.0,1.0,1.0,4.0,,3.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,3.0,,2.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,16.0,6.0,2.0,7.0,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,90.0
Falls,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,9.0
Fannin,,1.0,,,,,,,,,,,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,,,5.0,1.0,,,,,,,,,,1.0,,,2.0,3.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,3.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,19.0,3.0,3.0,9.0,,,,,1.0,,,,,,,,,,,,2.0,,,,72.0
Fayette,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,1.0,3.0,,,,2.0,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,13.0,2.0,1.0,15.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,65.0
Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Floyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,9.0
Foard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
Fort Bend,6.0,7.0,4.0,1.0,12.0,67.0,25.0,1.0,43.0,,88.0,45.0,15.0,63.0,75.0,9.0,13.0,122.0,6.0,28.0,39.0,126.0,16.0,18.0,37.0,83.0,,1.0,,,1.0,11.0,98.0,3.0,88.0,91.0,1.0,6.0,114.0,145.0,,,2.0,1.0,4.0,3.0,17.0,25.0,17.0,26.0,117.0,2.0,54.0,272.0,,,,,9.0,13.0,,3.0,5.0,,,,68.0,111.0,46.0,2.0,1.0,6.0,3.0,4.0,1.0,,,,13.0,56.0,207.0,2.0,65.0,16.0,33.0,12.0,1.0,15.0,7.0,5.0,8.0,6.0,27.0,,32.0,11.0,,29.0,20.0,,,7.0,6.0,73.0,27.0,65.0,142.0,,7.0,30.0,3.0,7.0,1.0,,,4.0,16.0,24.0,,,66.0,152.0,,,,1.0,34.0,,44.0,26.0,,121.0,2.0,103.0,60.0,2.0,8.0,,,2.0,7.0,12.0,3608.0,829.0,770.0,4934.0,,,8.0,22.0,73.0,1.0,61.0,196.0,3.0,10.0,18.0,2.0,,1.0,16.0,34.0,80.0,,,,14603.0
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,20.0
Freestone,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,8.0,3.0,,6.0,,,1.0,,1.0,,,,,,,,,,,,,,,,32.0
Frio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,17.0
Gains,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,3.0,4.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,26.0
Galveston,2.0,,,,,6.0,8.0,,6.0,,13.0,4.0,2.0,17.0,12.0,,1.0,28.0,,9.0,9.0,22.0,1.0,,5.0,14.0,,,,,2.0,2.0,28.0,,22.0,48.0,,1.0,54.0,23.0,,,,1.0,2.0,,,14.0,8.0,8.0,48.0,,23.0,58.0,,3.0,,4.0,2.0,4.0,,2.0,,,,,10.0,21.0,4.0,3.0,,3.0,,1.0,,,,,3.0,21.0,79.0,,12.0,6.0,19.0,10.0,1.0,2.0,2.0,4.0,,2.0,1.0,,8.0,7.0,,12.0,5.0,,,,2.0,4.0,2.0,9.0,19.0,,,2.0,,4.0,,,,1.0,7.0,5.0,,,4.0,29.0,,,,,6.0,,5.0,5.0,,20.0,234.0,14.0,17.0,,2.0,1.0,,,5.0,9.0,480.0,164.0,84.0,461.0,,,7.0,7.0,31.0,,21.0,42.0,2.0,5.0,2.0,3.0,,,11.0,6.0,7.0,,,,2491.0
Garza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Gillespie,,,,,,,1.0,,,,2.0,1.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,2.0,3.0,,,4.0,3.0,,,,,,,,1.0,,3.0,8.0,,4.0,8.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,5.0,,1.0,,,,,1.0,,,2.0,,,,3.0,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,3.0,,,,,1.0,,,,,,,,1.0,,1.0,,3.0,4.0,,,,,,,,32.0,10.0,12.0,26.0,,,1.0,,3.0,,2.0,1.0,,1.0,,,,,,2.0,2.0,,,,170.0
Goliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,5.0
Gonzales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,5.0,1.0,,6.0,,,,,2.0,,,,,,,,,,,,,,,,26.0
Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,4.0,,,,,,,2.0,,,,,,,,,,,,,,26.0
Grayson,,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,,2.0,5.0,,,2.0,,2.0,4.0,2.0,1.0,,,,,,,,,,4.0,,16.0,21.0,,1.0,25.0,16.0,,,,,2.0,1.0,,10.0,,4.0,10.0,1.0,19.0,20.0,,,,,1.0,2.0,,,,,,,5.0,3.0,,1.0,2.0,,1.0,,2.0,,,,,9.0,23.0,,5.0,1.0,4.0,1.0,,2.0,,,,,,,4.0,1.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,2.0,,,4.0,17.0,,,,,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,2.0,3.0,137.0,38.0,9.0,104.0,,,,3.0,8.0,,3.0,7.0,,,,1.0,,,1.0,1.0,2.0,,,,595.0
Gregg,,,,,,,,,,,,,,2.0,3.0,,,6.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,4.0,,4.0,10.0,,,9.0,9.0,,,,,1.0,,,2.0,,1.0,8.0,,7.0,13.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,15.0,17.0,,4.0,,4.0,1.0,,1.0,,,,,,,2.0,,,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,14.0,,,,6.0,,,,,,,1.0,1.0,,6.0,,,2.0,,2.0,,,1.0,,,68.0,24.0,11.0,61.0,,,1.0,,7.0,,5.0,3.0,,1.0,1.0,,,,,2.0,5.0,,,,362.0
Grimes,,,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,1.0,,,4.0,,,2.0,,,,,,,,,,,,4.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,8.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,12.0,7.0,4.0,15.0,,,,,1.0,,,,,,,,,,,1.0,,,,,86.0
